"CODIGO","DESCRIPCION","N_OT","CANTIDAD","PRECIO_UNITARIO","SUBTOTAL","IGV","TOTAL","FECHA_REGISTRO","REPARAR","C_MONEDA","N_PROFORMA","C_PROMOCION"
"01001-01004    ","SHAMPOO LIMPIAPARABRISAS WURTH 32ML.",10000075,1,7,7,1.26,8.26,21/02/2024 04:47:24 PM,0,"S",0,""
"MC             ","MATERIAL CONSUMIBLE",10000075,1,60,60,10.8,70.8,21/02/2024 04:47:24 PM,0,"S",0,""
"01001-01501    ","LIMPIEZA SISTEMA GASOLINA E INYECTORES",10000074,1,140,140,25.2,165.2,21/02/2024 04:48:17 PM,0,"S",0,""
"01001-07001    ","SEGURO DE RUEDAS",10000074,1,99,99,17.82,116.82,21/02/2024 04:48:17 PM,0,"S",0,""
"01001-03011    ","Radiador",10000077,1,520,520,93.6,613.6,26/02/2024 11:04:36 AM,0,"S",0,""
"01001-21005    ","SELLADOR AUTOMOTRIZ NEGRO SIKAFLEX",10000072,1,29.66,29.66,5.34,35,21/03/2024 03:29:59 PM,0,"S",0,""
"01001-06002    ","Filtro De Aceite Std.",10000086,1,20.99,20.99,3.78,24.77,02/03/2024 11:16:44 AM,0,"S",0,""
"MC             ","Material Consumible",10000086,1,60,60,10.8,70.8,02/03/2024 11:16:44 AM,0,"S",0,""
"01001-01004    ","Shampoo Limpiaparabrisas Wurth 32ml.",10000086,1,7,7,1.26,8.26,02/03/2024 11:16:44 AM,0,"S",0,""
"01001-06003    ","Filtro De Aire De Cabina",10000086,1,27.97,27.97,5.03,33,02/03/2024 11:16:44 AM,0,"S",0,""
"01001-03007    ","Arandela De Tapon De Carter",10000086,1,4.5,4.5,0.81,5.31,02/03/2024 11:16:44 AM,0,"S",0,""
"01001-06007    ","Filtro De Aire (sportage)",10000086,1,27.97,27.97,5.03,33,02/03/2024 11:16:44 AM,0,"S",0,""
"01001-03013    ","Bujias Largas",10000086,4,20.99,83.96,15.11,99.07,02/03/2024 11:16:44 AM,0,"S",0,""
"01001-01001    ","ACEITE DE MOTOR   5W30 SASH",10000086,5,52.6,263,47.34,310.34,02/03/2024 11:16:44 AM,0,"S",0,""
"01001-02012    ","FOCO TIPO BALLONETA C5W 12V. 5W",10000086,1,10,10,1.8,11.8,02/03/2024 11:16:44 AM,0,"S",0,""
"01001-05004    ","Pastillas De Freno Post.",10000086,1,250,250,45,295,02/03/2024 11:16:44 AM,0,"S",0,""
"01001-06008    ","FILTRO DE ACEITE (V40)",10000088,1,99,99,17.82,116.82,05/03/2024 09:39:13 AM,0,"S",0,""
"01001-06009    ","FILTRO DE AIRE (V40)",10000088,1,145,145,26.1,171.1,05/03/2024 09:39:13 AM,0,"S",0,""
"01001-06010    ","FILTRO DE CABINA A/C (V40)",10000088,1,195,195,35.1,230.1,05/03/2024 09:39:13 AM,0,"S",0,""
"01001-01501    ","LIMPIEZA SISTEMA GASOLINA E INYECTORES",10000088,1,140,140,25.2,165.2,05/03/2024 09:39:13 AM,0,"S",0,""
"","SENSOR DE VELOCIMETRO",10000034,1,127.12,127.12,22.88,150,29/05/2023 01:13:02 PM,0,"S",0,""
"","SENSOR DE RETROCESO",10000034,1,127.12,127.12,22.88,150,29/05/2023 01:13:43 PM,0,"S",0,""
"","PIN O PASADOR PARA FRENOS (PORTACALIPER)",10000047,1,23,23,4.14,27.14,14/07/2023 03:55:44 PM,0,"S",0,""
