CODIGO,DESCRIPCION,N_OT,CANTIDAD,PRECIO_UNITARIO,SUBTOTAL,IGV,TOTAL,FECHA_REGISTRO,REPARAR,C_MONEDA,N_PROFORMA,C_PROMOCION
01001-06052,Filtro De Aceite (a6),10000146,1,34.96,34.96,6.29,41.25,23/04/2024 12:12:24 PM,0,S,0,
01001-01006,Liquido De Freno Dot4  500ml,10000140,1,45,45,8.1,53.1,29/04/2024 08:26:44 AM,0,S,0,
01001-01005,Aceite De D/h (08206-9002),10000136,1,41.96,41.96,7.55,49.51,29/04/2024 11:38:25 AM,0,S,0,
01001-06002,Filtro De Aceite Std.,10000156,1,20.99,20.99,3.78,24.77,30/04/2024 11:13:20 AM,0,S,0,
01001-06002,Filtro De Aceite Std.,10000155,1,38,38,6.84,44.84,24/05/2024 10:31:38 AM,0,S,0,
01001-02018,Bateria Bosch Agm Ln3 12v 70ah,10000126,1,1152.54,1152.54,207.46,1360,29/04/2024 08:27:49 AM,0,S,0,
01001-05019,Pastillas De Freno Delt. (patriot),10000143,1,362,325.8,58.64,384.44,01/10/2024 07:45:59 PM,0,S,0,
01001-03041,Radiador (montero) Fabricado,10000123,1,2300,1800,324,2124,03/10/2024 09:17:32 AM,0,S,0,
01001-01019,Refrigerante Wurth  (azul),10000123,1,120,120,21.6,141.6,22/04/2024 01:33:40 PM,0,S,0,
01001-06042,Filtro De Aire (mazda),10000131,1,45,40.5,7.29,47.79,25/04/2024 03:51:05 PM,0,S,0,
01001-06002,Filtro De Aceite Std.,10000131,1,35,31.5,5.67,37.17,25/04/2024 03:51:05 PM,0,S,0,
01001-06003,Filtro De Cabina,10000131,1,75,67.5,12.15,79.65,25/04/2024 03:51:05 PM,0,S,0,
01001-03007,Arandela De Tapon De Carter,10000131,1,4.5,4.5,0.81,5.31,16/04/2024 05:38:44 PM,0,S,0,
01001-01004,Shampoo Limpiaparabrisas Wurth 32ml.,10000131,1,7.5,7.5,1.35,8.85,25/04/2024 03:51:05 PM,0,S,0,
MC,Material Consumible,10000131,1,60,60,10.8,70.8,16/04/2024 05:38:44 PM,0,S,0,
01001-01002,Aceite De Motor 10w30 Sash,10000131,5,45,225,40.5,265.5,25/04/2024 04:20:49 PM,0,S,0,
01001-05025,Sensor De Abs Delt. Izq. (montero),10000123,1,258.69,258.69,46.56,305.25,18/04/2024 11:17:25 AM,0,S,0,
01001-03045,Bujias Original (volvo),10000159,4,193.03,519.95,93.59,613.54,29/04/2024 08:28:09 AM,0,S,0,
01001-05024,Sensor De Abs Delt. Der. (montero),10000123,1,258.69,258.69,46.56,305.25,18/04/2024 11:17:25 AM,0,S,0,
MC,Material consumible,10000145,1,60,60,10.8,70.8,18/04/2024 11:46:19 AM,0,S,0,
01001-01004,Shampoo limpiaparabrisas wurth 32ml.,10000145,1,7,7,1.26,8.26,18/04/2024 11:46:19 AM,0,S,0,
01001-03007,Arandela de tapon de carter,10000145,1,4.5,4.5,0.81,5.31,18/04/2024 11:46:19 AM,0,S,0,
