OT,FECHA,PLACA,C_USUARIO,C_SEGURO,C_BROKER,C_TIPOOT,C_RECORDATORIO,KM,FHSALIDA,VIN,C_ESTADO,FHACTUALREG,COLOR,REQUERIMIENTO,CODIGO,DESCRIPCION,N_OT,CANTIDAD,PRECIO_UNITARIO,SUBTOTAL,IGV,TOTAL,FECHA_REGISTRO,REPARAR,C_MONEDA,N_PROFORMA,C_PROMOCION,N_OC,CANTIDAD_oc,OBSERVACION,PRECIO_UNITARIO_oc,TOTAL_oc,C_REPUESTO,IDINTERNO
10000014,07/02/2023 03:54:05 PM,D4B228 ,10002739,99,,R,,80450,20/07/2024 12:55:10 PM,3HGRM3830CG603778,S7,08/07/2024 01:07:40 PM,PLATA,SERVICIO MAYOR,01001-09016,"Plumilla 16""",10000014,1,50.85,50.85,9.15,60,09/07/2024 11:30:23 AM,0,S,0,,10000251,1,Requerimiento Inmediato,14.41,14.41,01001-09016,50359413
10000014,07/02/2023 03:54:05 PM,D4B228 ,10002739,99,,R,,80450,20/07/2024 12:55:10 PM,3HGRM3830CG603778,S7,08/07/2024 01:07:40 PM,PLATA,SERVICIO MAYOR,01001-09006,"Plumilla 24""",10000014,1,50.85,50.85,9.15,60,09/07/2024 11:30:23 AM,0,S,0,,10000218,6,,15.23,91.38,01001-09006,50358878
10000015,16/02/2023 05:00:43 PM,A9U142 ,10002742,99,,R,,40000,23/02/2026 01:09:53 PM,WDDGF4JB3BA431522,S6,16/02/2023 05:05:16 PM,AZUL,CAMBIO DE PASTILLAS DE FRENO DELT. Y POST.,MC,Material Consumible,10000015,1,60,60,10.8,70.8,12/02/2024 03:39:18 PM,0,S,0,,,,,,,,
10000030,17/05/2023 12:00:00 AM,A1B420 ,10000010,99,,R,,42368,09/08/2024 01:42:05 PM,3VWRV49M3AM008627,S6,18/05/2023 11:47:16 AM,GRIS,servicio mayor ,SHAMPOO01,Shampoo Limpia Parabrisas,10000030,1,7,7,1.26,8.26,12/02/2024 03:36:41 PM,0,S,0,,,,,,,,
10000030,17/05/2023 12:00:00 AM,A1B420 ,10000010,99,,R,,42368,09/08/2024 01:42:05 PM,3VWRV49M3AM008627,S6,18/05/2023 11:47:16 AM,GRIS,servicio mayor ,BPA000000100008,Arandela,10000030,1,3.51,3.51,0.63,4.14,12/02/2024 03:36:41 PM,0,S,0,,,,,,,,
10000030,17/05/2023 12:00:00 AM,A1B420 ,10000010,99,,R,,42368,09/08/2024 01:42:05 PM,3VWRV49M3AM008627,S6,18/05/2023 11:47:16 AM,GRIS,servicio mayor ,MC,Material Consumible,10000030,1,60,54,9.72,63.72,12/02/2024 03:36:41 PM,0,S,0,,,,,,,,
10000031,18/05/2023 04:24:45 PM,AJM123 ,10002755,99,,R,,65189,23/05/2023 01:33:33 PM,3MZBM42Z56M111036,S6,18/05/2023 04:25:57 PM,AZUL,SERVICIO MAYOR,BPA40013,ACEITE DE MOTOR 5W30,10000031,4,49.5,178.2,32.08,210.28,23/05/2023 01:16:04 PM,0,S,0,,10000002,16,,25.42,406.72,BPA40013,50355375
10000033,23/05/2023 05:20:24 PM,AUH012 ,10002756,99,,R,,21000,13/06/2024 10:25:16 AM,WDDWF4AB4HF453228,S7,23/05/2023 05:26:56 PM,PLATA,SERVICIO MENOR ,BPA40013,Aceite 5w30,10000033,9,46.66,419.94,75.59,495.53,12/02/2024 03:36:13 PM,0,S,0,,10000002,16,,25.42,406.72,BPA40013,50355375
10000033,23/05/2023 05:20:24 PM,AUH012 ,10002756,99,,R,,21000,13/06/2024 10:25:16 AM,WDDWF4AB4HF453228,S7,23/05/2023 05:26:56 PM,PLATA,SERVICIO MENOR ,BPA000000000016,Shampoo Limpia Parabrisas,10000033,1,7,7,1.26,8.26,12/02/2024 03:36:13 PM,0,S,0,,,,,,,,
10000033,23/05/2023 05:20:24 PM,AUH012 ,10002756,99,,R,,21000,13/06/2024 10:25:16 AM,WDDWF4AB4HF453228,S7,23/05/2023 05:26:56 PM,PLATA,SERVICIO MENOR ,BPA000000100008,Arandela,10000033,1,3.56,3.56,0.64,4.2,12/02/2024 03:36:13 PM,0,S,0,,,,,,,,
