N_OC,CANTIDAD,OBSERVACION,PRECIO_UNITARIO,TOTAL,C_REPUESTO,IDINTERNO
10000003,32,,20.12,643.84,01001-01002,50355394
10000006,1,,343.24,343.24,01001-04001,50355453
10000039,1,Requerimiento Inmediato,16.95,16.95,01001-06018,50356013
10000039,1,Requerimiento Inmediato,16.95,16.95,01001-06019,50356014
10000039,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50356015
10000043,2,Requerimiento Inmediato,72.04,144.08,01001-08001,50356093
10000055,1,,311.02,311.02,01001-02005,50356333
10000060,4,Requerimiento Inmediato,38.14,152.56,01001-03026,50356433
10000062,5,,0.85,4.25,01001-03007,50356436
10000062,1,,21.18,21.18,01001-07001,50356437
10000066,1,Requerimiento Inmediato,16.95,16.95,01001-06020,50356458
10000066,1,Requerimiento Inmediato,11.87,11.87,01001-06014,50356459
10000066,1,Requerimiento Inmediato,16.94,16.94,01001-06003,50356460
10000074,1,Requerimiento Inmediato,38.41,38.41,01001-06031,50356513
10000074,1,Requerimiento Inmediato,79.84,79.84,01001-06032,50356514
10000074,1,Requerimiento Inmediato,82.12,82.12,01001-06033,50356515
10000075,4,Requerimiento Inmediato,44.07,176.28,01001-03028,50356516
10000077,1,Requerimiento Inmediato por OV,321.51,321.51,01001-03030,50356573
10000085,1,Requerimiento Inmediato,65.25,65.25,01001-03033,50356693
10000085,1,Requerimiento Inmediato,2647.68,2647.68,01001-03034,50356694
10000086,1,Requerimiento Inmediato,322.03,322.03,01001-03035,50356713
10000087,1,Requerimiento Inmediato,305.09,305.09,01001-09001,50356714
10000088,1,Requerimiento Inmediato,18.65,18.65,01001-06007,50356715
10000088,1,Requerimiento Inmediato,16.95,16.95,01001-06003,50356716
10000088,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50356717
10000088,4,Requerimiento Inmediato,12.71,50.84,01001-03013,50356718
10000088,1,Requerimiento Inmediato,38.14,38.14,01001-03036,50356719
10000107,1,Requerimiento Inmediato,1144.07,1144.07,01001-03041,50356993
10000110,1,Requerimiento Inmediato,15.26,15.26,01001-06001,50357033
10000110,1,Requerimiento Inmediato,11.86,11.86,01001-06041,50357034
10000110,1,Requerimiento Inmediato,16.95,16.95,01001-06003,50357035
10000110,4,Requerimiento Inmediato,44.49,177.96,01001-03042,50357036
10000112,1,Requerimiento Inmediato,16.95,16.95,01001-06042,50357053
10000112,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50357054
10000112,1,Requerimiento Inmediato,16.95,16.95,01001-06003,50357055
10000113,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50357073
10000114,2,Requerimiento Inmediato,12.71,25.42,01001-02052,50357093
10000124,4,,21.44,85.76,01001-01020,50357254
10000125,1,Requerimiento Inmediato,94.92,94.92,01001-02019,50357273
10000128,1,Requerimiento Inmediato,21.19,21.19,01001-06052,50357333
10000133,4,Requerimiento Inmediato,116.99,467.96,01001-03045,50357433
10000134,1,Requerimiento Inmediato,357.39,357.39,01001-06053,50357453
10000138,2,Requerimiento Inmediato,275.43,550.86,01001-05035,50357495
10000141,1,Requerimiento Inmediato,25.42,25.42,01001-09002,50357522
10000141,1,Requerimiento Inmediato,25.42,25.42,01001-09003,50357523
10000141,1,Requerimiento Inmediato,25.42,25.42,01001-09004,50357524
10000142,1,Requerimiento Inmediato,335.58,335.58,01001-02504,50357525
10000145,1,Requerimiento Inmediato,33.88,33.88,01001-03047,50357534
10000145,4,Requerimiento Inmediato,6.36,25.44,01001-03048,50357535
10000148,1,Requerimiento Inmediato,101.7,101.7,01001-02506,50357573
10000149,24,Requerimiento Inmediato,9.1,218.4,01001-21014,50357574
10000150,1,Requerimiento Inmediato,203.39,203.39,01001-05036,50357593
10000150,1,Requerimiento Inmediato,203.39,203.39,01001-05037,50357594
10000156,1,Requerimiento Inmediato,118.64,118.64,01001-05008,50357673
10000159,1,Requerimiento Inmediato,84.75,84.75,01001-05040,50357733
10000162,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50357793
10000162,1,Requerimiento Inmediato,21.19,21.19,01001-06028,50357794
10000162,1,Requerimiento Inmediato,19.49,19.49,01001-06056,50357795
10000164,1,Requerimiento Inmediato,292.37,292.37,01001-05041,50357833
10000164,1,Requerimiento Inmediato,292.38,292.38,01001-05042,50357834
10000167,2,,4.24,8.48,01001-03052,50357893
10000169,1,Requerimiento Inmediato,228.81,228.81,01001-03053,50357933
10000169,1,Requerimiento Inmediato,186.44,186.44,01001-03054,50357934
10000171,1,Requerimiento Inmediato,33.06,33.06,01001-03055,50357973
